Ticker,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income,Net Income Com,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Total liabilities,Total shareholders equity,Net Debt,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Free Cash Flow,priceEarningsToGrowthRatio,dividendYield,enterpriseValueMultiple,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,inventoryTurnover,assetTurnover,currentRatio,quickRatio,debtRatio,debtEquityRatio,interestCoverage,Revenue per Share,Book Value per Share,Market Cap,Enterprise Value,PE ratio,PFCF ratio,EV to Sales,Enterprise Value over EBITDA,Earnings Yield,Debt to Equity,Debt to Assets,ROIC,Working Capital,ROE,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,Operating Cash Flow growth,Free Cash Flow growth,Asset Growth,Book Value per Share Growth,Debt Growth,Sector,2015 PRICE VAR [%],Class
PG,5811623250,-0.0713,2893247664,2153408831,0,818209625,1392664375,660809250,103553750,520197135.2,135910625,414820319,412967495.5,4.19,4.01,1.55,0.4754,0.247,0.2043,0.156,0.1359,976678204.7,704315387.1,668219250,5000000,448755875,719095625,243529375,1679544766,11956184656,431050863.6,44812500,925910625,1354699625,3334118750,7722981625,3681276750,257066361.9,274576875,770537959.3,-329093375,367551375,15.55784226,0.038152819,11.4211163,0.156489832,0.294875,0.1664,0.0753,10.8869,0.51572096,0.937,0.506196999,0.2455,0.5061,18.4580625,27.4952,25.86,8118979393,8684481125,18.7566,21.0348,3.1907,12.9411,0.0533,0.5061,0.2455,0.0753,-280857000,0.1664,-0.1185,-0.0001,0.0067,0.0293,0.0371,-0.0615,-0.0695,0.0359,0.0316,0.1228,Consumer Defensive,-9.323275997,0
VIPS,3734148046,0.435875,2805625444,928522602.5,21775625,344141427.2,793926703.3,134595899.3,12148692.28,175382305.5,39559573.78,135822731.7,135822731.7,0.2396,0.226,0,0.2487,0.0107,0.0502,0.0058,0.0704,245685825,187530997.7,668219250,5000000,448755875,11694866,243529375,1679544766,2736687278,431050863.6,0,925910625,622374071.7,622374071.7,2301093478,412354536.6,4745816,58154827.25,526745560.2,-263704552.8,263041007.4,3.220970583,0,7.136538133,0.036373151,0.0403,0.3294,0,3.3761,1.364477438,0.2102,0.849993073,0.2274,1.5093,15.4363,69.69345,0.7278,6253200000,1148673600,58.8168125,1.3589,2.2776,10.0823,0.0123,1.5093,0.2274,0,554673000,0.3294,0.5262125,1.2574875,1.1228,1.5229,1.4625,0.2134,-0.3626,0.0622,0.0371,0,Consumer Defensive,-25.51219289,0
KR,5811623250,0.0182,2893247664,2153408831,0,818209625,1392664375,660809250,103553750,520197135.2,135910625,414820319,412967495.5,1.47,1.45,0.307,0.2057,0.045,0.0276,0.015,0.0126,976678204.7,704315387.1,401000000,0,401000000,719095625,243529375,1679544766,11956184656,431050863.6,44812500,925910625,1354699625,3334118750,7722981625,3681276750,257066361.9,274576875,770537959.3,-329093375,367551375,3.220970583,0.002559596,2.276721014,0.015440915,0.1011,0.2821,0.0859,18.2227,2.232700923,0.825,0.141709482,0.3863,2.1007,6.1242,69.69345,5.237,8118979393,8684481125,12.034,14.6302,0.2967,6.6086,0.0831,2.1007,0.3863,0.0859,-280857000,0.2821,0.0173,-0.0145,-0.0141,0.0147,0.0576,0.2095,0.3935,0.1886,0.3268,0.2738,Consumer Defensive,33.11829672,1
RAD,5811623250,0.0053,2893247664,2153408831,0,818209625,1392664375,660809250,103553750,250218000,804000,249414000,215416000,4.6,4.6,0,0.2869,0.042,0.0264,0.008,0.0144,976678204.7,674809000,146406000,0,146406000,719095625,243529375,1679544766,6944871000,431050863.6,44812500,925910625,1354699625,3334118750,7722981625,-2088555250,257066361.9,274576875,702046000,-329093375,367551375,3.220970583,0.002559596,5.428005192,0.009770821,0.0668,-0.118,0.1062,8.303,2.232700923,1.709,0.436884933,0.829,-1.436475,1.5893,69.69345,-17.966875,6359738316,8684481125,28.6087,17.2736,0.4689,11.0987,0.035,-1.436475,0.829,0.1062,554673000,-0.118,0.0007,0.2904,0.1113,1.0043,0.9167,-0.1434,-0.2691,-0.0189,0.1963,-0.0458,Consumer Defensive,2.752291468,1
GIS,5811623250,0.0076,2893247664,2153408831,0,818209625,1392664375,660809250,103553750,520197135.2,135910625,414820319,412967495.5,2.9,2.83,1.55,0.3557,0.201,0.1681,0.102,0.1052,976678204.7,704315387.1,668219250,0,448755875,719095625,243529375,1679544766,11956184656,431050863.6,44812500,925910625,1354699625,3334118750,7722981625,3681276750,257066361.9,274576875,770537959.3,-329093375,367551375,15.25428736,0.035332474,9.767966031,0.101867155,0.294875,0.2792,0.1041,11.5363,0.773776555,0.81,0.433465474,0.3796,1.3445,9.954,29.1454,10.634,8118979393,8684481125,18.7034,17.6902,2.3032,11.4723,0.0535,1.3445,0.3796,0.1041,-280857000,0.2792,-0.0084,0.0332,0.037,-0.0166,0.014,-0.1316,-0.1936,0.0215,0.0274,0.1025,Consumer Defensive,12.89771517,1
PM,5811623250,0.001,2893247664,2153408831,0,818209625,1392664375,660809250,103553750,520197135.2,135910625,414820319,412967495.5,4.76,4.76,1.55,0.2413,0.156,0.1453,0.094,0.0822,976678204.7,704315387.1,668219250,0,448755875,719095625,243529375,1679544766,11956184656,431050863.6,44812500,925910625,1354699625,3334118750,7722981625,-2088555250,257066361.9,274576875,770537959.3,-329093375,367551375,13.8923657,0.052068448,10.59025586,0.093538561,0.294875,-0.2426125,0.1898375,8.6892,2.232700923,1.025,0.376257279,0.8371,-1.436475,11.0665,51.5577,-8.128,8118979393,8684481125,17.1113,19.215,1.9265,12.3153,0.0584,-1.436475,0.8371,0.1898375,372000000,-0.24205,-0.0709,-0.1193,-0.1341,-0.1263,-0.0951,-0.2364,-0.2629,-0.0781,-0.35185,0.0642,Consumer Defensive,13.98093678,1
KO,5811623250,-0.0183,2893247664,2153408831,0,818209625,1392664375,660809250,103553750,520197135.2,135910625,414820319,412967495.5,1.62,1.6,1.22,0.6111,0.256,0.2127,0.154,0.1833,976678204.7,704315387.1,668219250,5000000,448755875,719095625,243529375,1679544766,11956184656,431050863.6,44812500,925910625,1354699625,3334118750,7722981625,3681276750,257066361.9,274576875,770537959.3,-329093375,367551375,22.67339799,0.033243074,16.8403452,0.154311057,0.294875,0.2341,0.1004,14.4262,0.499853298,1.019,0.807468957,0.4536,1.3768,18.4580625,10.4851,6.911,8118979393,8684481125,26.0617,21.9662,4.4567,17.4348,0.0384,1.3768,0.4536,0.1004,554673000,0.2341,-0.0114,-0.1778,-0.0508,-0.1731,-0.1649,0.0069,0.0406,0.0219,-0.0763,0.1258,Consumer Defensive,5.339412838,1
WMT,5811623250,0.0163,2893247664,2153408831,0,818209625,1392664375,660809250,103553750,520197135.2,135910625,414820319,412967495.5,4.9,4.88,1.55,0.2482,0.074,0.0556,0.034,0.0228,976678204.7,704315387.1,668219250,0,448755875,719095625,243529375,1679544766,11956184656,431050863.6,44812500,925910625,1354699625,3334118750,7722981625,3681276750,257066361.9,274576875,770537959.3,-329093375,367551375,3.220970583,0.002559596,1.467225178,0.033638887,0.146,0.2101,0.1243,10.7442,2.232700923,0.882,0.201283438,0.2766,0.7428,11.3328,69.69345,23.327,8118979393,8684481125,15.2408,22.461,0.611,8.2364,0.0656,0.7428,0.2766,0.1243,-280857000,0.2101,0.0161,-0.0273,-0.0308,-0.0575,-0.0278,-0.0912,-0.1781,0.0081,0.0309,0.0463,Consumer Defensive,-26.65370179,0
MDLZ,5811623250,-0.0299,2893247664,2153408831,0,818209625,1392664375,660809250,103553750,520197135.2,135910625,414820319,412967495.5,1.29,1.28,0.58,0.3679,0.125,0.0942,0.064,0.0563,976678204.7,704315387.1,668219250,0,448755875,719095625,243529375,1679544766,11956184656,431050863.6,44812500,925910625,1354699625,3334118750,7722981625,3681276750,257066361.9,274576875,770537959.3,-329093375,367551375,25.77882103,0.01712227,16.74905348,0.063777596,0.2885,0.0787,0.0376,9.4819,0.512857378,0.839,0.455629328,0.2494,0.6002,4.6875,20.3843,16.519,8118979393,8684481125,28.1628,31.6718,2.221,17.7536,0.0355,0.6002,0.2494,0.0376,-280857000,0.0787,-0.0391,-0.4193,-0.1774,-0.4421,-0.4163,-0.4443,-0.6092,-0.0792,-0.1051,-0.0248,Consumer Defensive,23.80981774,1
MO,5811623250,0.0023,2893247664,2153408831,0,818209625,1392664375,660809250,103553750,520197135.2,135910625,414820319,412967495.5,2.56,2.56,1.55,0.4143,0.358,0.35,0.207,0.1835,976678204.7,704315387.1,668219250,0,448755875,124000000,243529375,1679544766,11956184656,416000000,44812500,925910625,1354699625,3334118750,7722981625,3014000000,257066361.9,208000000,770537959.3,-163000000,367551375,16.05630481,0.047810058,11.19675374,0.20675312,0.294875,0.3776875,0.1898375,12.5144,0.711298042,0.896,0.448976932,0.4262,2.428325,10.6213,12.407,1.525,8118979393,8684481125,19.2461,21.6402,4.4349,12.3723,0.052,2.428325,0.4262,0.1898375,-280857000,0.37735,-0.0284,0.074,-0.0574,0.118,0.1327,0.0658,0.0603,-0.011,-0.2593,0.0121,Consumer Defensive,23.8654893,1
